Final,Predicted_Class
,Unwanted
hari ini,Unwanted
semalam,Unwanted
"jabatan farmasi, hkl - membekal dan menghantar itopride 50mg tablet",Tender
"jabatan farmasi, hkl - membekal dan menghantar smof kabiven central (986ml/1100kcal)",Tender
"jabatan farmasi, hkl - membekal dan menghantar palbociclib 100mg kapsul",Tender
"jabatan farmasi, hkl - membekal dan menghantar dapagliflozin 10mg tablet",Tender
"jabatan farmasi, hkl - membekal dan menghantar amitriptyline hcl 25mg tablet",Tender
tawaran membekal dan menghantar instrumen placement secara rental untuk immunoassay analyzer (infectious disease) bagi makmal mikrobiologi hospital seri manjung selama sebelas (11) bulan,Tender
"jabatan farmasi, hkl - membekal dan menghantar atropine sulphate 0.01% w/v eye drop",Tender
"jabatan farmasi, hkl - membekal dan menghantar brinzolamide 1% and brimonidine tartrate 0.2% ophthalmic suspension",Tender
"jabatan farmasi, hkl - membekal dan menghantar chorionic gonadotrophin human (hcg) 5000iu injection",Tender
"jabatan farmasi, hkl - membekal dan menghantar ciclosporin 50mg/ml injection",Tender
"jabatan farmasi, hkl - membekal dan menghantar clonazepam 0.5mg tablet",Tender
"jabatan farmasi, hkl - membekal dan menghantar coal tar solution (larutan tar arang)",Tender
"jabatan farmasi, hkl - membekal dan menghantar cyclophosphamide 1g injection",Tender
"jabatan farmasi, hkl - membekal dan menghantar somatropin 6mg solution for injection",Tender
"jabatan farmasi, hkl - membekal dan menghantar diosmin 450mg and hesperidin 50mg tablet",Tender
"jabatan farmasi, hkl - membekal dan menghantar esmolol hcl 10mg/ml injection",Tender
"jabatan farmasi, hkl - membekal dan menghantar formalin 10% neutral buffered solution",Unwanted
"jabatan farmasi, hkl - membekal dan menghantar gabapentin 100mg kapsul",Tender
"jabatan farmasi, hkl - membekal dan menghantar sodium chloride 0.45% with dextrose 5% injection (500ml)",Tender
"jabatan farmasi, hkl - membekal dan menghantar rabies vaccine injection",Tender
,Unwanted
hari ini,Unwanted
semalam,Unwanted
"jabatan farmasi, hkl - membekal dan menghantar mesalazine 1g suppository",Tender
"jabatan farmasi, hkl - membekal dan menghantar mesna 100mg/ml injection",Tender
"jabatan farmasi, hkl - membekal dan menghantar nimodipine 30mg tablet",Tender
"jabatan farmasi, hkl - membekal dan menghantar piribedil 50mg tablet",Tender
"jabatan farmasi, hkl - membekal dan menghantar ropivacaine hcl 7.5mg/ml injection",Tender
"jabatan farmasi, hkl - membekal dan menghantar ferric derisomaltose 100mg/ml solution for injection/infusion (5ml)",Tender
"jabatan farmasi, hkl - membekal dan menghantar paraffin mole alba (white soft paraffin) 100g",Tender
"jabatan farmasi, hkl - membekal dan menghantar paraffin mole alba (white soft paraffin) 50g",Tender
"sebut harga membekal dan menghantar minimal inhibitory concentration (mic) strip untuk ujian sensitiviti antibiotik bagi tempoh dua (2) tahun untuk unit mikrobiologi, jabatan patologi, hospital melaka",Tender
"jabatan farmasi, hkl - membekal dan menghantar insulin glargine 300 iu / 3 ml injection (prefilled pen)",Tender
perkhidmatan penyewaan kenderaan 4wd dan van untuk tujuan operasi pejabat jmg sabah tahun 2024,Tender
perkhidmatan pengurusan pembuangan dan pelupusan sisa klinikal di hospital angkatan tentera tuanku mizan,Unwanted
"pembekalan toner untuk pelbagai jenis pencetak kepada bahagian perancangan strategik, jabatan pertanian malaysia",Tender
"tawaran perkhidmatan bagi membekal dan menghantar instrument placement and reagent rental for coagulation analyzer ke makmal hematologi di hospital tawau, hospital lahad datu, hospital semporna dan hospital kunak di bawah kluster tawau, jabatan kesihatan negeri sabah bagi tempoh empat (4) tahun",Tender
"jabatan farmasi, hkl - membekal dan menghantar bedaquiline 100mg tablet",Tender
"jabatan farmasi, hkl - membekal dan menghantar factor viii (human blood coagulation factor) & von willebrand factor 1000 iu injection",Tender
"jabatan farmasi, hkl - membekal dan menghantar amoxicillin (amoxycillin) trihydrate 125mg/5ml syrup (60ml)",Tender
"jabatan farmasi, hkl - membekal dan menghantar budesonide 160mcg & formoterol 4.5mcg inhalation (turbuhaler)",Tender
"jabatan farmasi, hkl - membekal dan menghantar hepatitis b vaccine injection 10mcg (pediatric)",Tender
"jabatan farmasi, hkl - membekal dan menghantar peritoneal dialysis with 7.5% icodextrin solution (2litre)",Tender
,Unwanted
hari ini,Unwanted
semalam,Unwanted
membekal dan menghantar bekalan perkakasan pakai buang 'closed suction catheter sz : 12fr' bagi jabatan perubatan hospital sultan ismail johor bahru untuk tempoh dua (2) tahun,Tender
sebutharga membekal dan menghantar ink toner untuk tempoh dua (2) tahun di hospital mesra bukit padang,Tender
"perolehan secara sebut harga bagi perkhidmatan sewaan generator elektrik di pusat konservasi gajah sungai deka, hulu terengganu, jabatan perhilitan negeri terengganu.",Unwanted
sebutharga perkhidmatan sewaan mesin risograph digital network beserta dakwat & master di stor alatulis hospital pakar sultanah fatimah muar bagi tempoh 3 tahun (36 bulan).,Tender
perkhidmatan dan penyelenggaraan sewaan mesin penyalin serta bacaan meter di kolej komuniti selandar bagi tempoh 3 tahun,Tender
"tender bekalan bakul makanan program pemulihan kanak-kanak kekurangan zat makanan, bahagian kesihatan awam, jkn negeri perak bagi tempoh dua (2) tahun",Tender
sebut harga bagi membekal bahan mentah basah dan kering untuk kegunaan jabatan hospitaliti dan perhotelan ikbn kemasik untuk tempoh satu (1) tahun,Tender
"sebutharga membekal dan menghantar instrument placement, consumables, quality controls and reagent rental for automated coagulation testing system di jabatan patologi, hospital duchess of kent sandakan, jabatan kesihatan negeri sabah bagi tempoh satu (1) tahun",Tender
"sebutharga perkhidmatan membekal makanan bermasak (bmb) ke asrama sk datuk bandar, debak bagi tempoh satu (1) tahun lima (5) bulan mulai 1 februari 2024 sehingga 30 jun 2025 (17 bulan).",Tender
"sebutharga perkhidmatan membekal makanan bermasak (bmb) ke asrama sk st christopher, debak bagi tempoh satu (1) tahun dua (2) bulan mulai 1 februari 2024 sehingga 31 mac 2025 (14 bulan).",Tender
"sebutharga perkhidmatan membekal makanan bermasak (bmb) ke asrama sk suri, debak bagi tempoh dua (2) tahun mulai 1 februari 2024 sehingga 31 januari 2026 (24 bulan).",Tender
"sebutharga perkhidmatan membekal makanan bermasak (bmb) ke asrama sk st.peter & st.paul, betong bagi tempoh dua (2) tahun mulai 1 februari 2024 sehingga 31 januari 2026 (24 bulan).",Tender
"sebutharga perkhidmatan membekal makanan bermasak (bmb) ke asrama sk spaoh, betong bagi tempoh dua (2) tahun mulai 1 februari 2024 sehingga 31 januari 2026 (24 bulan).",Tender
"sebutharga perkhidmatan membekal makanan bermasak (bmb) ke asrama sk semarang, pusa bagi tempoh satu (1) tahun lima(5) bulan mulai 1 februari 2024 sehingga 30 jun 2025 (17 bulan).",Tender
sebut harga perkhidmatan penyelenggaraan pendingin hawa di tiga belas (13) daerah / cawangan jabatan pendaftaran negara negeri selangor,Unwanted
