Element,HTML,Content
strong,"<strong>Paparan yang disyor menggunakan Google Chrome, Mozilla Firefox, Microsoft Edge Browser versi terkini dengan resolusi skrin 1280x800</strong>","Paparan yang disyor menggunakan Google Chrome, Mozilla Firefox, Microsoft Edge Browser versi terkini dengan resolusi skrin 1280x800"
p,"<p style=""text-align: justify;"">Kerajaan Malaysia dan Kementerian Kewangan tidak bertanggungjawab diatas segala kehilangan atau kerugian yang disebabkan oleh penggunaan mana-mana maklumat yang diperolehi dari laman web ini.</p>",Kerajaan Malaysia dan Kementerian Kewangan tidak bertanggungjawab diatas segala kehilangan atau kerugian yang disebabkan oleh penggunaan mana-mana maklumat yang diperolehi dari laman web ini.
p,"<p style=""text-align: justify;"">Syarikat-syarikat yang dirujuk di dalam laman web ini tidak boleh dianggap sebagai agen ataupun syarikat yang disyorkan oleh Kementerian Kewangan.</p>",Syarikat-syarikat yang dirujuk di dalam laman web ini tidak boleh dianggap sebagai agen ataupun syarikat yang disyorkan oleh Kementerian Kewangan.
p,"<p style=""text-align: justify;"">Kerajaan Malaysia dan Kementerian Kewangan Malaysia tidak pernah melantik pihak ketiga ataupun syarikat sebagai agen bagi urusan permohonan pendaftaran akaun Kementerian Kewangan Malaysia.</p>",Kerajaan Malaysia dan Kementerian Kewangan Malaysia tidak pernah melantik pihak ketiga ataupun syarikat sebagai agen bagi urusan permohonan pendaftaran akaun Kementerian Kewangan Malaysia.
p,"<p class=""optimum""><strong>Paparan yang disyor menggunakan Google Chrome, Mozilla Firefox, Microsoft Edge Browser versi terkini dengan resolusi skrin 1280x800</strong></p>","Paparan yang disyor menggunakan Google Chrome, Mozilla Firefox, Microsoft Edge Browser versi terkini dengan resolusi skrin 1280x800"
p,"<p>Hakcipta © <script type=""text/javascript"">var year=new Date();document.write(year.getFullYear());</script>2024, ePerolehan, Kementerian Kewangan, Malaysia.<br/> Diselenggara oleh Commerce Dot Com Sdn Bhd.</p>","Hakcipta © 2024, ePerolehan, Kementerian Kewangan, Malaysia. Diselenggara oleh Commerce Dot Com Sdn Bhd."
a,"<a href=""#main-content"" id=""skip-to-content"">Skip to Content</a>",Skip to Content
a,"<a class="""" href=""/web/epapp/dashboard"" id="""" role=""menuitem"" title=""""> <i class=""icon-user""></i> <span class=""nav-item-label""> Log Masuk </span> </a>",Log Masuk
a,"<a aria-haspopup=""true"" aria-labelledby=""layout_1"" class=""dropdown-toggle"" href=""https://www.eperolehan.gov.my/home"" id=""yui_patched_v3_11_0_1_1704388360426_206"" role=""menuitem"" tabindex=""0""> UTAMA </a>",UTAMA
a,"<a aria-haspopup=""true"" aria-labelledby=""layout_6"" class=""dropdown-toggle"" href=""https://www.eperolehan.gov.my/about-ep"" id=""yui_patched_v3_11_0_1_1704388360426_208"" role=""menuitem"" tabindex=""-1""> MENGENAI eP </a>",MENGENAI eP
