Tag,Class,HTML
a,ui-commandlink,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:1:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:1:j_idt403'});return false;"" style=""margin-right:20px;"">SEBUT HARGA HOSPITAL KLUSTER BAGI MEMBEKAL DAN MENGHANTAR REAGEN RAPID ANTIGEN DETECTION FOR RESPIRATORY VIRUSES KIT"" UNTUK TEMPOH DUA (2) TAHUN BAGI HOSPITAL-HOSPITAL DI NEGERI MELAKA .</a>"
a,ui-widget,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:1:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:1:j_idt403'});return false;"" style=""margin-right:20px;"">SEBUT HARGA HOSPITAL KLUSTER BAGI MEMBEKAL DAN MENGHANTAR REAGEN RAPID ANTIGEN DETECTION FOR RESPIRATORY VIRUSES KIT"" UNTUK TEMPOH DUA (2) TAHUN BAGI HOSPITAL-HOSPITAL DI NEGERI MELAKA .</a>"
a,ui-commandlink,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:2:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:2:j_idt403'});return false;"" style=""margin-right:20px;"">SEBUT HARGA PERKHIDMATAN PENYEWAAN DAN PENYELENGGARAAN MESIN PENYALIN SEBANYAK TIGA (3) UNIT SERTA CAJ BACAAN METER SELAMA DUA (2) TAHUN DI HOSPITAL CHANGKAT MELINTANG, PERAK.</a>"
a,ui-widget,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:2:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:2:j_idt403'});return false;"" style=""margin-right:20px;"">SEBUT HARGA PERKHIDMATAN PENYEWAAN DAN PENYELENGGARAAN MESIN PENYALIN SEBANYAK TIGA (3) UNIT SERTA CAJ BACAAN METER SELAMA DUA (2) TAHUN DI HOSPITAL CHANGKAT MELINTANG, PERAK.</a>"
a,ui-commandlink,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:3:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:3:j_idt403'});return false;"" style=""margin-right:20px;"">TENDER PERKHIDMATAN KAWALAN KESELAMATAN (TANPA SENJATA API) BAGI TEMPOH TIGA PULUH ENAM (36) BULAN UNTUK KEGUNAAN KOLEJ KOMUNITI TAIPING, KEMENTERIAN PENDIDIKAN TINGGI.</a>"
a,ui-widget,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:3:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:3:j_idt403'});return false;"" style=""margin-right:20px;"">TENDER PERKHIDMATAN KAWALAN KESELAMATAN (TANPA SENJATA API) BAGI TEMPOH TIGA PULUH ENAM (36) BULAN UNTUK KEGUNAAN KOLEJ KOMUNITI TAIPING, KEMENTERIAN PENDIDIKAN TINGGI.</a>"
a,ui-commandlink,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:4:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:4:j_idt403'});return false;"" style=""margin-right:20px;"">SEBUT HARGA PERKHIDMATAN PEMBERSIHAN KAWASAN DAN PENCUCIAN KLINIK-KLINIK DAN BANGUNAN PEJABAT KESIHATAN DAERAH SEBERANG PERAI TENGAH BAGI TEMPOH 4 </a>"
a,ui-widget,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:4:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:4:j_idt403'});return false;"" style=""margin-right:20px;"">SEBUT HARGA PERKHIDMATAN PEMBERSIHAN KAWASAN DAN PENCUCIAN KLINIK-KLINIK DAN BANGUNAN PEJABAT KESIHATAN DAERAH SEBERANG PERAI TENGAH BAGI TEMPOH 4 </a>"
a,ui-commandlink,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:5:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:5:j_idt403'});return false;"" style=""margin-right:20px;"">MEMBEKAL BAHAN MENTAH MAKANAN (KERING) UNTUK TUJUAN PENGAJARAN DAN PEMBELAJARAN (PdP) PROGRAM KULINARI DAN OPERASI PERHOTELAN BAGI TEMPOH DUA TAHUN DI KOLEJ KOMUNITI ROMPIN</a>"
a,ui-widget,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:5:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:5:j_idt403'});return false;"" style=""margin-right:20px;"">MEMBEKAL BAHAN MENTAH MAKANAN (KERING) UNTUK TUJUAN PENGAJARAN DAN PEMBELAJARAN (PdP) PROGRAM KULINARI DAN OPERASI PERHOTELAN BAGI TEMPOH DUA TAHUN DI KOLEJ KOMUNITI ROMPIN</a>"
